covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
target_gene_expression,0.09552423655618543,1.100235487630006,0.049639946097479994,-0.0017682699893849657,0.19281674310175584,0.9982332924789017,1.2126605447453778,0.0,1.9243420685550419,0.054311720735368045,4.202592617489304
age,6.358293826167284e-06,1.0000063583140402,0.007031711458719401,-0.013775542914941466,0.013788259502593802,0.986318905685371,1.013883755957838,0.0,0.0009042313330822083,0.9992785278782562,0.001041239910144994
gender,0.1737187023866798,1.1897208531091295,0.14137122331057284,-0.10336380375241233,0.45080120852577193,0.901798835995855,1.5695692340960405,0.0,1.2288123305338037,0.21914217733432279,2.1900609146440444
